itype,source,value
mal_ip,FirstEnergy,207.126.152.242
mal_file_name,FirstEnergy,vsdebugconsole.exe
mal_file_name,FirstEnergy,community.YARA
mal_file_name,FirstEnergy,CandiesPlus.cpp
mal_file_name,FirstEnergy,vctip.exe
mal_file_name,FirstEnergy,News.The
mal_url,FirstEnergy,https://aazsbsgya565vlu2c6bzy6yfiebkcbtvvcytvolt33s77xypi7nypxyd.onion/&#34
mal_url,FirstEnergy,https://aazsbsgya565vlu2c6bzy6yfiebkcbtvvcytvolt33s77xypi7nypxyd.onion:80/&#34
mal_md5,FirstEnergy,ce180470d48a569c1f87fbfee0cf41b9842a1f69eb040f437bb90e06c7040b82
mal_md5,FirstEnergy,8dacc4d09d9c9cfd16b98f215b9925f8e741b51dc49fe2af3d705760a73189fe
mal_md5,FirstEnergy,d144b61c0626989039aa5eb56bd7d276a22959aeb19d1610cd35359a2ee85dc1
mal_md5,FirstEnergy,449d87ca461823bb85c18102605e23997012b522c4272465092e923802a745e9
mal_md5,FirstEnergy,15cd31ba6bd53f177ef700e93333e093d6ece9eece16848bee7b33eb267d4ee2
mal_md5,FirstEnergy,dc56a30c0082145ad5639de443732e55dd895a5f0254644d1b1ec1b9457f04ff
mal_md5,FirstEnergy,50f45122fdd5f8ca05668a385a734a278aa126ded185c3377f6af388c41788cb
mal_md5,FirstEnergy,d943a4aabd76582218fd1a9a0a77b2f6a6715b198f9994f0feae6f249b40fdf9
mal_md5,FirstEnergy,1dff5e105493decfaa275720a822fadc57cca073f0d7eb3a11ad9efbb306985d
mal_file_name,FirstEnergy,BitData.exe
mal_file_name,FirstEnergy,hv2.ps1
mal_file_name,FirstEnergy,DataSoft.exe
mal_file_name,FirstEnergy,DigitalText.dll
mal_file_name,FirstEnergy,socksps.ps1
mal_file_name,FirstEnergy,Winscp.exe
mal_file_name,FirstEnergy,PROCEXP.sys
mal_file_name,FirstEnergy,GeniusMesh.exe
mal_file_name,FirstEnergy,afd8b8a4615358e0313bad8c544a1af0d8efcec0e8056c2c8eee96c7.b06
mal_file_name,FirstEnergy,GWT.ps1
mal_file_name,FirstEnergy,Thief.exe
mal_file_name,FirstEnergy,db_Usr.sql
mal_file_name,FirstEnergy,eucr.exe
mal_file_name,FirstEnergy,Jun.exe
mal_file_name,FirstEnergy,DumpNParse86.exe
mal_file_name,FirstEnergy,BitLogic.dll
mal_file_name,FirstEnergy,DS_c1.dll
mal_file_name,FirstEnergy,POSTDump.exe
mal_file_name,FirstEnergy,NetApp.exe
mal_file_name,FirstEnergy,Winx86.exe
mal_file_name,FirstEnergy,DumpNParse.exe
mal_domain,FirstEnergy,xkpal.1a4a64b6.dns.blocktoday.net
mal_domain,FirstEnergy,unitedfrom.com
mal_domain,FirstEnergy,dns.trailshop.net
mal_domain,FirstEnergy,xkpal.d6597fa.dns.blocktoday.net
mal_domain,FirstEnergy,simorten.com
mal_domain,FirstEnergy,protectionek.com
mal_domain,FirstEnergy,currentbee.net
mal_domain,FirstEnergy,welausystem.net
mal_domain,FirstEnergy,kekeoamigo.com
mal_domain,FirstEnergy,modernbeem.net
mal_domain,FirstEnergy,karmafisker.com
mal_domain,FirstEnergy,technologgies.com
mal_domain,FirstEnergy,airbusco.net
mal_domain,FirstEnergy,clearsystemwo.net
mal_domain,FirstEnergy,topglobaltv.com
mal_domain,FirstEnergy,ionoslaba.com
mal_domain,FirstEnergy,rasapool.net
mal_domain,FirstEnergy,prettyanimals.net
mal_domain,FirstEnergy,startupbusiness24.net
mal_domain,FirstEnergy,artstrailreviews.com
mal_domain,FirstEnergy,dns.artspathgroupe.net
mal_domain,FirstEnergy,seohomee.com
mal_domain,FirstEnergy,tomlawcenter.com
mal_domain,FirstEnergy,businessprofessionalllc.com
mal_domain,FirstEnergy,monitor-websystem.net
mal_ip,FirstEnergy,5.183.130.92
mal_ip,FirstEnergy,155.138.246.122
mal_ip,FirstEnergy,46.8.10.134
mal_ip,FirstEnergy,46.8.16.77
mal_ip,FirstEnergy,188.130.218.39
mal_ip,FirstEnergy,66.249.66.18
mal_ip,FirstEnergy,188.130.137.181
mal_ip,FirstEnergy,185.7.214.79
mal_ip,FirstEnergy,95.181.173.227
mal_md5,FirstEnergy,58ddbea084ce18cfb3439219ebcf2fc5c1605d2f6271610b1c7af77b8d0484bd
mal_md5,FirstEnergy,62e63388953bb30669b403867a3ac2c8130332cf78133f7fd4a7f23cdc939087
mal_md5,FirstEnergy,f039eaaced72618eaba699d2985f9e10d252ac5fe85d609c217b45bc8c3614f4
mal_md5,FirstEnergy,a7b36482ba5bca7a143a795074c432ed627d6afa5bc64de97fa660faa852f1a6
mal_md5,FirstEnergy,7ad4324ea241782ea859af12094f89f9a182236542627e95b6416c8fb9757c59
mal_md5,FirstEnergy,3337a7a9ccdd06acdd6e3cf4af40d871172d0a0e96fc48787b574ac93689622a
mal_md5,FirstEnergy,17879ed48c2a2e324d4f5175112f51b75f4a8ab100b8833c82e6ddb7cd817f20
mal_md5,FirstEnergy,360c9c8f0a62010d455f35588ef27817ad35c715a5f291e43449ce6cb1986b98
mal_md5,FirstEnergy,fafaff3d665b26b5c057e64b4238980589deb0dff0501497ac50be1bc91b3e08
mal_md5,FirstEnergy,5b2178c7a0fd69ab00cef041f446e04098bbb397946eda3f6755f9d94d53c221
mal_md5,FirstEnergy,69192821f8ce4561cf9c9cb494a133584179116cb2e7409bea3e18901a1ca944
mal_md5,FirstEnergy,37a5cd265f7f555f2fe320a68d70553b7aa9601981212921d1ac2c114e662004
mal_md5,FirstEnergy,1c1b2d7f790750d60a14bd661dae5c5565f00c6ca7d03d062adcecda807e1779
mal_md5,FirstEnergy,d73f6e240766ddd6c3c16eff8db50794ab8ab95c6a616d4ab2bc96780f13464d
mal_md5,FirstEnergy,2642ec377c0cee3235571832cb472870
mal_md5,FirstEnergy,3c50f6369f0938f42d47db29a1f398e754acb2a8d96fd4b366246ac2ccbe250a
mal_md5,FirstEnergy,acb60f0dd19a9a26aaaefd3326db8c28f546b6b0182ed2dcc23170bcb0af6d8f
mal_md5,FirstEnergy,05ebae760340fe44362ab7c8f70b2d89d6c9ba9b9ee8a9f747b2f19d326c3431
mal_md5,FirstEnergy,9a55f55886285eef7ffabdd55c0232d1458175b1d868c03d3e304ce7d98980bc
mal_md5,FirstEnergy,3090a37e591554d7406107df87b3dc21bda059df0bc66244e8abef6a5678af35
mal_md5,FirstEnergy,d3683beca3a40574e5fd68d30451137e4a8bbaca8c428ebb781d565d6a70385e
mal_md5,FirstEnergy,88c8b472108e0d79d16a1634499c1b45048a10a38ee799054414613cc9dccccc
mal_md5,FirstEnergy,42f05f5d4a2617b7ae0bc601dd6c053bf974f9a337a8fcc51f9338b108811b78
mal_md5,FirstEnergy,4c897334e6391e7a2fa3cbcbf773d5a4
mal_md5,FirstEnergy,d15bfbc181aac8ce9faa05c2063ef4695c09b718596f43edc81ca02ef03110d1
mal_md5,FirstEnergy,b32daf27aa392d26bdf5faafbaae6b21cd6c918d461ff59f548a73d447a96dd9
mal_md5,FirstEnergy,86a4dd6be867846b251460d2a0874e6413589878d27f2c4482b54cec134cc737
mal_md5,FirstEnergy,b3fe23dd4701ed00d79c03043b0b952e
